Sequence;Species1;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size
3416.0;Ceyx margarethae;Alcedinidae;Coraciiformes;AVIBASE-B797E63F;15;5;9;1;6;35.6;29.4;6.0;7.7;13.8;62.9;16.6;47.2;26.1;22.9;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;5.01;12.97;8.05;124.46;116128.28
3424.0;Ceyx meeki;Alcedinidae;Coraciiformes;AVIBASE-86DEADF3;8;3;4;1;3;36.7;29.3;6.5;6.9;9.7;56.9;11.6;45.8;20.2;24.7;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-8.58;-5.01;-6.81;156.57;17124.46
3413.0;Ceyx melanurus;Alcedinidae;Coraciiformes;AVIBASE-544B26FE;5;2;3;0;5;34.2;28.1;7.8;7.9;10.1;57.4;12.3;45.0;21.5;19.6;22.8;Dunning;;NO;;;Forest;1;1.0;Carnivore;Omnivore;Insessorial;10.0;18.65;15.23;122.0;127390.35
3414.0;Ceyx mindanensis;Alcedinidae;Coraciiformes;AVIBASE-F76B8DCB;2;1;1;0;1;39.6;31.7;7.7;8.5;9.2;57.2;9.5;47.8;16.5;20.5;22.8;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Omnivore;Insessorial;5.56;9.83;7.65;124.79;95454.87
3422.0;Ceyx mulcatus;Alcedinidae;Coraciiformes;AVIBASE-629FB560;4;2;2;0;4;40.6;33.2;7.2;7.8;9.8;63.6;12.0;51.7;18.8;25.6;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-4.85;-2.36;-3.58;152.02;8783.42
3429.0;Ceyx nigrirostris;Alcedinidae;Coraciiformes;AVIBASE-617B96C7;7;3;4;0;1;37.6;31.5;6.4;7.4;9.4;56.0;12.2;46.8;20.7;23.6;21.5;DataFromSplit;;NO;;;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;9.04;11.94;10.54;122.89;28799.29
3426.0;Ceyx nigromaxilla;Alcedinidae;Coraciiformes;AVIBASE-E8585335;8;3;5;0;2;37.4;29.1;6.7;7.5;8.6;57.3;9.7;47.0;17.1;24.6;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-9.95;-8.32;-9.35;160.53;9792.65
3432.0;Ceyx pusillus;Alcedinidae;Coraciiformes;AVIBASE-9F840FEA;5;2;3;0;4;28.9;22.7;5.1;6.4;8.0;50.8;11.9;38.6;23.6;24.6;13.3;Dunning;;NO;;;Forest;2;1.0;Carnivore;Aquatic predator;Insessorial;-24.86;2.23;-8.47;140.75;910124.54
3423.0;Ceyx sacerdotis;Alcedinidae;Coraciiformes;AVIBASE-EB20184F;7;5;2;0;4;38.6;31.4;7.3;7.8;9.7;58.7;11.8;48.0;19.8;23.4;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-6.31;-4.09;-5.48;150.55;36285.3
3411.0;Ceyx sangirensis;Alcedinidae;Coraciiformes;AVIBASE-0C0CF67B;2;0;0;2;0;38.5;25.2;7.6;7.1;8.5;60.0;13.0;45.0;22.4;25.5;18.0;DataFromSplit;;YES;"Beak Nares; Beak Width; Beak Depth; Tarsus Length; Kipp's Distance; Secondary1; Hand-Wing Index";Ceyx fallax;Woodland;1;1.0;Carnivore;Invertivore;Insessorial;3.38;3.74;3.56;125.54;556.37
3420.0;Ceyx solitarius;Alcedinidae;Coraciiformes;AVIBASE-72DE8F42;14;4;5;5;4;38.3;31.4;6.1;6.0;8.3;52.1;11.3;41.4;21.5;20.8;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-10.7;-0.01;-5.34;140.89;687104.79
3418.0;Ceyx wallacii;Alcedinidae;Coraciiformes;AVIBASE-FE1C0F07;6;3;3;0;2;40.0;32.6;7.7;8.6;10.0;64.0;15.2;48.5;23.9;29.1;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-2.49;-1.63;-1.88;125.15;4678.51
3434.0;Ceyx websteri;Alcedinidae;Coraciiformes;AVIBASE-8ADDDF42;1;0;1;0;1;52.6;39.3;8.6;11.8;12.1;89.0;21.0;68.0;23.6;40.0;61.0;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-6.32;-2.36;-4.62;150.68;13725.07
3449.0;Chloroceryle aenea;Alcedinidae;Coraciiformes;AVIBASE-A08C5C06;8;3;5;0;5;31.0;24.0;5.0;6.5;7.9;55.9;13.6;42.4;24.2;34.0;13.8;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-26.19;21.62;-3.66;-63.82;9332280.13
3448.0;Chloroceryle amazona;Alcedinidae;Coraciiformes;AVIBASE-331DC00B;6;2;4;0;4;69.4;57.6;11.6;15.3;12.6;130.5;39.9;93.4;29.9;76.8;126.4;Dunning;;NO;;;Riverine;3;1.0;Carnivore;Aquatic predator;Insessorial;-34.98;24.02;-8.36;-59.89;14157184.63
3450.0;Chloroceryle americana;Alcedinidae;Coraciiformes;AVIBASE-ED7D6741;28;9;19;0;12;42.0;34.2;6.2;8.7;7.8;76.8;19.7;57.3;25.6;57.8;33.7;Dunning;;NO;;;Riverine;3;1.0;Carnivore;Aquatic predator;Insessorial;-36.5;32.45;-5.49;-64.46;16946715.06
3451.0;Chloroceryle inda;Alcedinidae;Coraciiformes;AVIBASE-5900955B;4;2;2;0;4;51.6;39.5;8.8;10.8;10.3;97.0;26.2;70.8;27.0;63.8;52.1;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-27.82;12.47;-4.85;-61.36;8573926.25
3507.0;Cittura cyanotis;Alcedinidae;Coraciiformes;AVIBASE-DE53CCF7;5;2;2;1;4;38.9;28.3;15.2;12.4;14.9;98.2;23.6;74.3;24.1;91.6;147.0;EltonTraits_Model;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-4.28;1.88;-0.77;122.1;73612.74
3506.0;Cittura sanghirensis;Alcedinidae;Coraciiformes;AVIBASE-E9901CE9;13;4;4;5;3;45.9;35.2;16.7;13.9;17.8;110.7;23.1;89.7;20.5;96.5;147.0;EltonTraits_Model;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;2.64;3.74;3.42;125.51;671.57
3522.0;Clytoceyx rex;Alcedinidae;Coraciiformes;AVIBASE-CCA68E33;4;3;1;0;4;48.9;32.0;26.0;27.8;25.5;165.5;32.8;132.8;19.8;120.8;242.0;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Terrestrial;-10.73;-0.81;-5.21;141.17;340625.85
3407.0;Corythornis cristatus;Alcedinidae;Coraciiformes;AVIBASE-12EA0D5A;5;2;3;0;4;33.6;25.3;5.3;6.1;7.8;54.2;12.3;42.7;22.4;26.4;15.7;Dunning;;NO;;;Wetland;2;1.0;Carnivore;Aquatic predator;Insessorial;-34.84;16.79;-3.46;20.88;14363969.72
3406.0;Corythornis leucogaster;Alcedinidae;Coraciiformes;AVIBASE-4F94B89C;29;2;3;24;6;30.9;24.3;5.8;6.6;10.1;55.2;11.1;44.2;20.1;23.5;14.5;Dunning;;NO;;;Forest;1;1.0;Carnivore;Aquatic predator;Insessorial;-11.1;13.22;1.85;15.26;2739779.01
3405.0;Corythornis madagascariensis;Alcedinidae;Coraciiformes;AVIBASE-EDF78342;5;2;3;0;4;29.6;23.4;7.1;7.2;9.6;57.0;11.6;44.9;20.6;29.4;17.7;Dunning;;NO;;;Shrubland;2;1.0;Carnivore;Vertivore;Insessorial;-25.02;-12.35;-17.91;46.67;158670.3
3409.0;Corythornis nais;Alcedinidae;Coraciiformes;AVIBASE-0759A4FB;1;0;0;1;1;28.0;19.9;5.5;6.1;8.7;55.4;11.1;44.3;20.0;24.0;15.7;DataFromSplit;;NO;;;Wetland;2;1.0;Carnivore;Aquatic predator;Insessorial;1.53;1.7;1.62;7.4;146.64
3408.0;Corythornis thomensis;Alcedinidae;Coraciiformes;AVIBASE-95031C69;4;1;3;0;4;36.1;29.5;6.1;7.4;9.0;57.8;12.0;45.8;20.7;27.5;15.7;DataFromSplit;;NO;;;Wetland;2;1.0;Carnivore;Aquatic predator;Insessorial;-0.01;0.42;0.24;6.61;858.55
3410.0;Corythornis vintsioides;Alcedinidae;Coraciiformes;AVIBASE-FEBCB5F6;5;2;3;0;4;31.4;24.2;5.1;6.3;8.7;59.1;12.5;46.4;21.2;27.6;17.9;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-25.61;-11.36;-19.35;46.71;572332.97
3521.0;Dacelo gaudichaud;Alcedinidae;Coraciiformes;AVIBASE-8AA36DB0;10;2;8;0;10;54.4;42.3;18.4;18.8;17.7;130.2;33.1;97.0;25.5;91.9;143.0;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-10.73;0.04;-5.36;140.93;671238.41
3519.0;Dacelo leachii;Alcedinidae;Coraciiformes;AVIBASE-6F0C3A53;12;2;9;1;10;82.2;61.8;24.9;26.2;26.2;196.1;53.1;141.8;27.3;125.1;308.0;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Omnivore;Insessorial;-27.87;-3.95;-17.91;135.6;2183194.4
3518.0;Dacelo novaeguineae;Alcedinidae;Coraciiformes;AVIBASE-94AF4A47;7;2;3;2;4;68.6;50.3;22.6;24.4;26.8;216.1;62.5;152.3;29.1;153.1;333.8;Dunning;;NO;;;Forest;2;1.0;Carnivore;Omnivore;Insessorial;-39.47;-10.02;-28.34;145.7;2413843.09
3520.0;Dacelo tyro;Alcedinidae;Coraciiformes;AVIBASE-5B365DF7;4;2;2;0;4;51.3;38.5;18.6;19.8;21.6;148.0;31.8;116.2;21.4;109.0;145.9;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-9.29;-5.32;-7.96;139.58;36878.49
3464.0;Halcyon albiventris;Alcedinidae;Coraciiformes;AVIBASE-C5D3CB2A;8;4;4;0;4;49.2;38.6;11.0;11.9;14.4;100.3;20.7;79.6;20.6;64.4;65.1;Dunning;;NO;;;Shrubland;2;1.0;Carnivore;Invertivore;Insessorial;-34.64;2.79;-14.23;29.85;3765344.98
3461.0;Halcyon badia;Alcedinidae;Coraciiformes;AVIBASE-BD366A8F;6;2;3;1;4;41.3;31.3;12.6;11.8;12.3;92.2;20.5;71.2;22.4;57.0;57.9;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-7.52;8.87;1.09;16.35;3197177.13
3465.0;Halcyon chelicuti;Alcedinidae;Coraciiformes;AVIBASE-AB51824B;9;4;5;0;4;36.1;25.6;9.0;9.2;10.7;79.1;21.0;58.2;26.5;44.3;43.2;Dunning;;NO;;;Shrubland;2;1.0;Carnivore;Invertivore;Insessorial;-29.04;17.02;-2.45;21.43;13120453.97
3457.0;Halcyon coromanda;Alcedinidae;Coraciiformes;AVIBASE-6647508A;15;8;4;3;10;60.4;50.4;15.7;15.6;17.1;113.7;25.1;86.7;22.4;66.3;77.5;Dunning;;NO;;;Forest;1;3.0;Carnivore;Omnivore;Insessorial;-6.87;44.82;14.22;113.04;2736822.53
3460.0;Halcyon cyanoventris;Alcedinidae;Coraciiformes;AVIBASE-E4948338;4;1;2;1;4;59.1;49.2;14.9;15.7;16.9;117.2;23.6;93.7;20.1;72.2;93.0;Dunning;;NO;;;Human Modified;2;1.0;Carnivore;Invertivore;Insessorial;-8.85;-5.87;-7.35;110.16;131597.72
3459.0;Halcyon gularis;Alcedinidae;Coraciiformes;AVIBASE-8B9E43C7;4;2;2;0;4;61.8;49.9;14.3;14.9;14.8;120.2;27.0;93.2;22.5;75.4;91.4;Updated_literature;Dunning (2021);NO;;;Human Modified;2;2.0;Carnivore;Omnivore;Insessorial;5.37;18.65;11.86;123.1;278326.5
3463.0;Halcyon leucocephala;Alcedinidae;Coraciiformes;AVIBASE-178B6892;11;8;3;0;10;46.2;37.0;10.5;11.3;13.9;102.1;24.1;78.3;23.6;65.3;41.8;Dunning;;NO;;;Shrubland;2;2.0;Carnivore;Invertivore;Insessorial;-27.7;20.85;0.43;20.73;14797715.21
3466.0;Halcyon malimbica;Alcedinidae;Coraciiformes;AVIBASE-0D8BDD35;11;2;8;1;10;56.6;45.3;15.0;16.0;16.8;113.5;22.3;91.3;19.6;78.5;91.8;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-13.17;13.94;3.9;13.0;4774587.94
3462.0;Halcyon pileata;Alcedinidae;Coraciiformes;AVIBASE-6B292CA0;6;2;2;2;4;65.9;54.5;14.1;14.8;14.2;124.0;32.7;94.6;25.7;80.3;84.0;Dunning;;NO;;;Riverine;2;2.0;Carnivore;Invertivore;Insessorial;18.16;42.88;31.18;111.53;3068117.98
3467.0;Halcyon senegalensis;Alcedinidae;Coraciiformes;AVIBASE-47E71671;5;2;3;0;4;43.8;34.4;11.6;12.1;12.8;99.4;20.9;78.8;21.0;70.8;73.4;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-27.43;16.45;-0.14;19.75;14752529.26
3468.0;Halcyon senegaloides;Alcedinidae;Coraciiformes;AVIBASE-1F360691;5;2;3;0;4;50.7;41.0;13.7;13.7;15.6;105.2;24.0;82.2;22.6;66.2;61.8;Dunning;;NO;;;Wetland;2;2.0;Carnivore;Aquatic predator;Insessorial;-31.73;3.19;-15.09;37.32;193724.21
3458.0;Halcyon smyrnensis;Alcedinidae;Coraciiformes;AVIBASE-B30B6781;10;2;7;1;10;59.8;48.4;13.7;14.3;15.0;113.2;24.5;88.7;21.7;78.3;91.4;Dunning;;NO;;;Human Modified;2;2.0;Carnivore;Omnivore;Insessorial;-7.55;38.88;21.21;83.74;6823580.46
3403.0;Ispidina lecontei;Alcedinidae;Coraciiformes;AVIBASE-9BE54916;16;2;3;11;4;27.7;22.2;6.3;4.9;6.8;47.7;11.2;34.8;24.3;20.3;9.5;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-8.65;9.85;1.55;15.99;2195930.36
3404.0;Ispidina picta;Alcedinidae;Coraciiformes;AVIBASE-C0998BB9;18;4;5;9;12;27.4;21.1;6.4;6.1;8.4;52.3;12.1;40.3;23.2;25.0;12.7;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-32.98;16.9;-0.83;20.97;13894765.2
3453.0;Lacedo melanops;Alcedinidae;Coraciiformes;AVIBASE-8F8E7160;4;2;2;0;4;41.4;30.8;12.9;11.8;13.2;81.0;18.0;62.9;22.3;58.7;47.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-4.19;7.36;0.71;114.27;640017.28
3452.0;Lacedo pulchella;Alcedinidae;Coraciiformes;AVIBASE-7082A89B;5;2;3;0;4;42.5;31.2;13.1;11.9;12.0;82.0;18.4;64.4;22.2;59.8;47.3;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-8.78;21.86;9.68;102.25;1429865.78
3446.0;Megaceryle alcyon;Alcedinidae;Coraciiformes;AVIBASE-3558066B;6;3;3;0;4;58.6;44.8;9.5;13.4;12.5;158.8;53.2;105.0;33.6;94.3;148.0;Dunning;;NO;;;Riverine;3;2.0;Carnivore;Aquatic predator;Insessorial;26.81;68.33;50.37;-106.94;13996585.38
3443.0;Megaceryle lugubris;Alcedinidae;Coraciiformes;AVIBASE-BE8DC16C;5;2;3;0;4;76.6;55.5;11.9;18.2;16.4;182.4;54.2;127.2;29.9;103.0;271.0;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;13.81;45.55;29.15;109.71;5024200.4
