Sequence;Species1;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size
3486.0;Todiramphus albonotatus;Alcedinidae;Coraciiformes;AVIBASE-9487A526;4;2;2;0;4;34.5;30.1;10.7;9.8;11.3;82.2;7.6;74.7;9.2;52.2;32.0;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-6.32;-4.14;-5.51;150.64;30015.58
3498.0;Todiramphus australasia;Alcedinidae;Coraciiformes;AVIBASE-F9D8B10D;8;2;6;0;4;39.1;31.2;11.1;10.8;14.0;76.0;20.2;56.8;26.3;54.4;43.0;Updated_literature;BoW;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-10.94;-6.66;-9.09;123.95;54650.76
3490.0;Todiramphus chloris;Alcedinidae;Coraciiformes;AVIBASE-39A32B83;33;11;3;19;4;50.5;41.9;14.3;12.7;15.7;107.3;25.4;81.3;23.8;67.3;66.1;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-30.17;25.1;0.66;114.99;3828153.1
3493.0;Todiramphus cinnamominus;Alcedinidae;Coraciiformes;AVIBASE-4D9CF8EC;1;0;1;0;1;44.4;36.1;13.3;11.7;16.8;94.0;19.0;75.0;20.2;70.0;62.2;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;;;;;
3483.0;Todiramphus diops;Alcedinidae;Coraciiformes;AVIBASE-06CB752D;5;2;3;0;4;39.7;31.8;11.2;10.4;13.3;84.6;25.5;59.8;29.9;49.8;47.4;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-1.74;2.65;0.64;127.98;25186.57
3491.0;Todiramphus enigma;Alcedinidae;Coraciiformes;AVIBASE-90668FE7;4;2;2;0;3;53.5;41.9;13.9;13.2;15.3;104.3;24.3;80.1;23.1;66.0;66.1;Inferred;;YES;Body Mass;Todiramphus chloris;Riverine;1;1.0;Carnivore;Invertivore;Insessorial;3.73;4.55;4.21;126.78;1018.35
3488.0;Todiramphus farquhari;Alcedinidae;Coraciiformes;AVIBASE-5EB42312;4;4;0;0;3;37.0;28.6;10.7;9.5;14.1;89.0;22.3;67.7;25.0;62.0;38.8;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-16.59;-14.63;-15.57;167.05;5637.52
3489.0;Todiramphus funebris;Alcedinidae;Coraciiformes;AVIBASE-66629E0A;5;2;3;0;4;56.3;45.9;16.0;16.1;17.6;112.2;23.8;87.5;21.3;89.4;126.0;Inferred;;YES;Body Mass;Todiramphus saurophagus;Forest;2;1.0;Carnivore;Invertivore;Insessorial;-0.92;2.23;0.87;128.01;18106.9
3503.0;Todiramphus gambieri;Alcedinidae;Coraciiformes;AVIBASE-C7C7C1AE;1;0;1;0;1;36.0;29.0;11.8;9.0;15.8;90.0;17.0;73.0;18.9;66.0;39.0;Updated_literature;Dunning (2021);NO;;;Shrubland;2;1.0;Carnivore;Invertivore;Insessorial;-16.19;-16.12;-16.15;-146.36;25.36
3504.0;Todiramphus godeffroyi;Alcedinidae;Coraciiformes;AVIBASE-ED3D4981;4;2;2;0;4;39.5;32.4;12.9;10.2;15.8;98.0;20.0;78.0;20.4;68.2;63.4;EltonTraits_Model;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-10.02;-9.89;-9.94;-139.09;67.5
3484.0;Todiramphus lazuli;Alcedinidae;Coraciiformes;AVIBASE-6E12BE50;4;2;2;0;4;42.4;32.6;11.5;11.4;13.2;91.8;29.0;62.8;31.6;54.2;47.4;Inferred;;YES;Body Mass;Todiramphus diops;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-3.88;-2.78;-3.23;129.39;18388.64
3487.0;Todiramphus leucopygius;Alcedinidae;Coraciiformes;AVIBASE-37921A66;5;2;3;0;4;41.2;31.9;11.4;10.7;13.0;85.8;23.0;62.0;27.0;58.8;47.9;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-9.95;-5.01;-7.52;157.49;23194.38
3485.0;Todiramphus macleayii;Alcedinidae;Coraciiformes;AVIBASE-31B7FC11;9;6;2;1;8;40.4;32.3;10.3;10.2;13.0;87.8;27.1;60.8;30.9;56.2;37.3;Dunning;;NO;;;Riverine;2;3.0;Carnivore;Invertivore;Insessorial;-33.2;-5.47;-18.8;144.28;1023997.36
3481.0;Todiramphus nigrocyaneus;Alcedinidae;Coraciiformes;AVIBASE-67C46F57;4;0;2;2;4;49.1;38.5;13.3;13.1;16.3;92.2;15.8;76.5;17.1;62.8;54.2;Dunning;;NO;;;Forest;1;1.0;Carnivore;Omnivore;Insessorial;-9.44;-0.34;-4.92;139.21;463339.63
3492.0;Todiramphus pelewensis;Alcedinidae;Coraciiformes;AVIBASE-2C302D27;26;11;10;5;4;47.4;38.5;12.9;11.5;13.9;93.9;20.6;66.4;23.7;70.7;62.2;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;6.97;7.73;7.46;134.54;445.07
3505.0;Todiramphus pyrrhopygius;Alcedinidae;Coraciiformes;AVIBASE-F103AAE1;5;2;3;0;4;41.7;33.5;11.2;10.4;15.3;100.2;36.8;63.8;36.5;67.8;51.7;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-38.4;-10.69;-25.32;134.41;7435153.36
3497.0;Todiramphus recurvirostris;Alcedinidae;Coraciiformes;AVIBASE-5AAAB4E4;4;2;2;0;4;33.9;27.6;11.7;8.5;13.6;80.0;19.5;60.5;24.4;54.0;53.0;Dunning;;NO;;;Woodland;2;1.0;Carnivore;Invertivore;Insessorial;-14.06;-13.43;-13.74;-172.17;2877.15
3494.0;Todiramphus reichenbachii;Alcedinidae;Coraciiformes;AVIBASE-18B6E8CF;15;6;8;1;5;48.8;39.0;13.2;12.3;16.4;96.7;22.7;74.9;23.3;73.6;62.2;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;6.78;6.99;6.88;158.23;354.06
3500.0;Todiramphus ruficollaris;Alcedinidae;Coraciiformes;AVIBASE-398E3D2F;1;1;0;0;1;37.2;29.0;14.3;10.5;16.6;99.0;18.0;81.0;18.2;79.0;34.9;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-21.94;-21.88;-21.91;-157.93;50.39
3496.0;Todiramphus sanctus;Alcedinidae;Coraciiformes;AVIBASE-D3BC0A03;38;4;5;29;8;43.4;34.3;10.5;10.1;12.9;91.3;27.7;64.1;30.1;60.5;53.0;Dunning;;NO;;;Woodland;2;3.0;Carnivore;Invertivore;Insessorial;-47.29;-9.76;-26.17;134.92;5939587.69
3495.0;Todiramphus saurophagus;Alcedinidae;Coraciiformes;AVIBASE-4B4D37C8;5;2;3;0;4;63.9;50.2;16.2;16.2;18.1;127.8;32.0;95.0;25.2;83.2;126.0;Dunning;;NO;;;Woodland;3;1.0;Carnivore;Omnivore;Insessorial;-11.66;2.65;-3.59;141.7;134276.08
3499.0;Todiramphus tutus;Alcedinidae;Coraciiformes;AVIBASE-60C7E118;5;0;1;4;4;37.8;30.3;13.2;10.5;16.6;100.0;19.5;81.2;19.4;74.8;42.3;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-20.19;-16.42;-17.1;-152.14;447.02
3502.0;Todiramphus veneratus;Alcedinidae;Coraciiformes;AVIBASE-53C9EF2B;5;2;3;0;4;33.6;25.5;12.2;9.2;15.6;95.4;19.8;75.2;20.8;68.4;44.5;Updated_literature;Dunning (2021);NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-17.88;-17.5;-17.68;-149.41;1061.31
3482.0;Todiramphus winchelli;Alcedinidae;Coraciiformes;AVIBASE-E482C372;4;2;2;0;4;53.9;44.2;14.6;14.3;14.7;97.5;23.8;73.8;24.3;70.8;67.4;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;5.04;12.68;8.61;124.54;133080.36
3501.0;Todiramphus youngi;Alcedinidae;Coraciiformes;AVIBASE-270BB45F;4;2;2;0;4;36.1;27.3;12.2;9.7;15.7;99.0;19.6;79.3;19.9;68.1;50.5;Updated_literature;Dunning (2021);NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-17.59;-17.47;-17.53;-149.83;133.69
